,model,exp_type,prompt,pred,true,response
0,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""They have unbeatable price in town and deliver on time .""
Question: In the event ""have"", does the participant ""They"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""They have unbeatable price in town and deliver on time.""
Question: In the event ""have"", does the participant ""They"" change in state?
Answer: 

A:

The sentence is grammatically correct.

They have unbeatable price in town and deliver on time.

The subject of the sentence is ""They"".

They have unbeatable price in town.
"
1,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""My last son , was born in Northern Ontario ....""
Question: In the event ""born"", does the participant ""son"" change in state?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""My last son, was born in Northern Ontario....""
Question: In the event ""born"", does the participant ""son"" change in state?
Answer: 

Yes, the participant ""son"" changes in state.
No, the participant ""son"" does not change in state.

A:

The answer is No.
The sentence is ambiguous. 

My last son"
2,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you do n't change your mind about going to the wedding Sunday .""
Question: In the event ""change"", does the participant ""mind"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you don't change your mind about going to the wedding Sunday.""
Question: In the event ""change"", does the participant ""mind"" change in state?
Answer: 

A:

The sentence is ambiguous. 

I hope you don't change your mind about going to the wedding Sunday.

The speaker is hoping that the listener will not change his mind about"
3,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I sent a graphic that would have been distorted if printed as it was .""
Question: In the event ""distorted"", does the participant ""graphic"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I sent a graphic that would have been distorted if printed as it was.""
Question: In the event ""distorted"", does the participant ""graphic"" change in state?
Answer: 

A:

The sentence is ambiguous. 

If the graphic is distorted, then the sentence is true.
If the graphic is not distorted, then the sentence is false.

The sentence"
4,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process""
Question: In the event ""encourage"", does the participant ""agreement"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process""
Question: In the event ""encourage"", does the participant ""agreement"" change in state?
Answer: 

A:

The sentence is not grammatically correct.

Tamils feel that the proposed defense agreement between India and Sri Lanka"
5,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you do n't change your mind about going to the wedding Sunday .""
Question: In the event ""hope"", does the participant ""I"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you don't change your mind about going to the wedding Sunday.""
Question: In the event ""hope"", does the participant ""I"" change in state?
Answer: 

A:

The answer is no.
The verb ""hope"" is intransitive.

Hope is a verb that means to wish for something to happen.

Hope is a verb"
6,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Restaurant on top was renovated , food was decent , price was way to high for Duluth for quality , new decor seems tacky""
Question: In the event ""renovated"", does the participant ""Restaurant"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Restaurant on top was renovated, food was decent, price was way to high for Duluth for quality, new decor seems tacky""
Question: In the event ""renovated"", does the participant ""Restaurant"" change in state?
Answer: 

A:

The verb ""renovate"" is intransitive, so the subject of the sentence is the restaurant."
7,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""sorry , i left lou off of the message .""
Question: In the event ""left"", does the participant ""i"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""sorry, i left lou off of the message.""
Question: In the event ""left"", does the participant ""i"" change in state?
Answer: 

A:

The answer is yes.
The sentence is a question, and the answer is yes.
The question is:

Sorry, I left Lou off the message.

The answer is:

Yes, I"
8,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""His artworks were selected and exhibited in British Museum in 2002 .""
Question: In the event ""selected"", does the participant ""artworks"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""His artworks were selected and exhibited in British Museum in 2002.""
Question: In the event ""selected"", does the participant ""artworks"" change in state?
Answer: 

A:

The sentence is grammatically correct.
The verb ""select"" is intransitive, so the subject of the sentence is ""his artworks"".
The verb ""exhibit"" is transitive,"
9,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs .""
Question: In the event ""is"", does the participant ""problem"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs.""
Question: In the event ""is"", does the participant ""problem"" change in state?
Answer: 

A:

The sentence is not grammatically correct.

Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs.

The"
10,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Today 's incident proves that Sharon has lost his patience and his hope in peace .""
Question: In the event ""proves"", does the participant ""incident"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Today's incident proves that Sharon has lost his patience and his hope in peace.""
Question: In the event ""proves"", does the participant ""incident"" change in state?
Answer: 

A:

The answer is yes.
The verb ""prove"" is a perfect tense verb.

prove
  VERB
  1.
  [with object]"
11,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""You have to pay CASH ONLY before they start unloading track on your destination .""
Question: In the event ""pay"", does the participant ""CASH"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""You have to pay CASH ONLY before they start unloading track on your destination.""
Question: In the event ""pay"", does the participant ""CASH"" change in state?
Answer: 

A:

The answer is no.
The verb pay is intransitive, so it doesn't take an object.

You have to pay CASH ONLY before they start unloading track"
12,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Damage estimates of more than $ 25 bn suggest it could be the US insurance industry 's most expensive natural disaster ever .""
Question: In the event ""suggest"", does the participant ""estimates"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Damage estimates of more than $ 25 bn suggest it could be the US insurance industry's most expensive natural disaster ever.""
Question: In the event ""suggest"", does the participant ""estimates"" change in state?
Answer: 

A:

The verb ""suggest"" is a verb of action.  It is a verb of action that is used to describe the action of making a suggestion"
13,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The Chili Relleno .. had no batter on it .""
Question: In the event ""had"", does the participant ""Relleno"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""The Chili Relleno.. had no batter on it.""
Question: In the event ""had"", does the participant ""Relleno"" change in state?
Answer: 

A:

The sentence is ungrammatical.

The Chili Relleno had no batter on it.

The Chili Relleno is a noun phrase, and the subject of the sentence is the Chili"
14,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I think it will help me very much in my role .""
Question: In the event ""think"", does the participant ""I"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I think it will help me very much in my role.""
Question: In the event ""think"", does the participant ""I"" change in state?
Answer: 

Yes, the participant ""I"" changes in state.
No, the participant ""I"" does not change in state.

A:

Yes, the participant ""I"" changes in state.

This is correct"
15,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""i satisfy your appetitie for lovin .""
Question: In the event ""satisfy"", does the participant ""appetitie"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""i satisfy your appetitie for lovin.""
Question: In the event ""satisfy"", does the participant ""appetitie"" change in state?
Answer: 

A:

The sentence is grammatically correct, but it is not idiomatic. 
The word ""appetite"" is a noun, and the verb ""satisfy"" is a transitive verb"
16,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Joe removed a wasp nest for our condominium building and we appreciated the environmentally friendly method and prompt , friendly and informative service .""
Question: In the event ""removed"", does the participant ""Joe"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Joe removed a wasp nest for our condominium building and we appreciated the environmentally friendly method and prompt, friendly and informative service.""
Question: In the event ""removed"", does the participant ""Joe"" change in state?
Answer: 

A:

The answer is yes.
The verb ""remove"" is intransitive, so the subject of the sentence is ""Joe"".
The"
17,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""My assistant Joanne Rozycki has cell , car numbers to reach me .""
Question: In the event ""has"", does the participant ""numbers"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""My assistant Joanne Rozycki has cell, car numbers to reach me.""
Question: In the event ""has"", does the participant ""numbers"" change in state?
Answer: 

A:

The answer is no.
The sentence is a simple sentence, and the subject is ""my assistant"".
The verb is ""has"", and the object is ""cell, car numbers""."
18,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""We need to include all outstanding transactions .""
Question: In the event ""include"", does the participant ""transactions"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""We need to include all outstanding transactions.""
Question: In the event ""include"", does the participant ""transactions"" change in state?
Answer: 

A:

The sentence is ambiguous. 

We need to include all outstanding transactions.

The first part of the sentence is a noun phrase, and the second part is a verb phrase. 
The noun phrase is a noun"
19,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""i know you remember the bet .""
Question: In the event ""remember"", does the participant ""bet"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""i know you remember the bet.""
Question: In the event ""remember"", does the participant ""bet"" change in state?
Answer: 

A:

The answer is no.
Remember is a verb that means to remember something.
Bet is a verb that means to make a bet.
The sentence is asking if the participant remembers the bet.
The answer is no.
The"
20,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""On August 21st , 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it .""
Question: In the event ""deliver"", does the participant ""it"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""On August 21st, 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it.""
Question: In the event ""deliver"", does the participant ""it"" change in state?
Answer: 

A:

The answer is yes.
The verb ""deliver"" is a transitive verb, which means that it requires an object.  The object of"
21,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The pictures are broadcast at a rate of about 60 Hz , which is how fast they need to move for us to see them as a moving , flawless picture .""
Question: In the event ""broadcast"", does the participant ""pictures"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The pictures are broadcast at a rate of about 60 Hz, which is how fast they need to move for us to see them as a moving, flawless picture.""
Question: In the event ""broadcast"", does the participant ""pictures"" change in state?
Answer: 

A:

The sentence is not grammatically correct.
The correct sentence is:

The pictures are broadcast at"
22,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: """" Dale "" means "" river valley . """"
Question: In the event ""means"", does the participant ""Dale"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: """" Dale "" means "" river valley. """"
Question: In the event ""means"", does the participant ""Dale"" change in state?
Answer: 

A:

The sentence is ambiguous. 

""Dale"" means ""river valley""

or

""Dale"" means ""river valley""

The first sentence is ambiguous because it is not clear whether """
23,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""There 's plenty of parking , and I 've never had an issue with audience members who wo n't stop talking or answering their cellphones .""
Question: In the event ""stop"", does the participant ""members"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""There's plenty of parking, and I've never had an issue with audience members who won't stop talking or answering their cellphones.""
Question: In the event ""stop"", does the participant ""members"" change in state?
Answer: 

A:

The sentence is ungrammatical.

There's plenty of parking, and I've never had an issue with audience members"
24,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed .""
Question: In the event ""struck"", does the participant ""him"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed.""
Question: In the event ""struck"", does the participant ""him"" change in state?
Answer: 

A:

The verb ""strike"" is intransitive, so the subject of the verb is not changed.
The subject of the verb is the person who"
25,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Dessert was ... hmmm , that 's interesting , I do n't even remember dessert .""
Question: In the event ""remember"", does the participant ""I"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Dessert was... hmmm, that's interesting, I don't even remember dessert.""
Question: In the event ""remember"", does the participant ""I"" change in state?
Answer: 

A:

The answer is yes.
The sentence is a question, and the question is about the state of the subject.
The subject is the ""I"" in the sentence."
26,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""But if -- there 's a painting on the wall in the Oval Office that shows a horseman charging up a steep cliff , and there are at least two other horsemen following .""
Question: In the event ""shows"", does the participant ""horseman"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""But if -- there's a painting on the wall in the Oval Office that shows a horseman charging up a steep cliff, and there are at least two other horsemen following.""
Question: In the event ""shows"", does the participant ""horseman"" change in state?
Answer: 

A:

The sentence is ambiguous. 

But if there's a painting on the wall"
27,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""You need either a filter for each device except the DSL modem , or a whole home filter which filters all the jacks , except the one which the DSL modem connects .""
Question: In the event ""filters"", does the participant ""filter"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""You need either a filter for each device except the DSL modem, or a whole home filter which filters all the jacks, except the one which the DSL modem connects.""
Question: In the event ""filters"", does the participant ""filter"" change in state?
Answer: 

A:

The answer is yes.
The sentence is a conditional sentence.
The conditional sentence is formed by"
28,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I got highlights , haircut , and a blowdry .""
Question: In the event ""got"", does the participant ""I"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I got highlights, haircut, and a blowdry.""
Question: In the event ""got"", does the participant ""I"" change in state?
Answer: 

A:

The answer is yes.
The verb ""got"" is a perfect tense verb.

I got highlights, haircut, and a blowdry.

The verb ""got"" is a perfect tense verb.
"
29,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement , together with Paragraph 13 to the ISDA Credit Support Annex .""
Question: In the event ""Attached"", does the participant ""Schedule"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement, together with Paragraph 13 to the ISDA Credit Support Annex.""
Question: In the event ""Attached"", does the participant ""Schedule"" change in state?
Answer: 

A:

The answer is yes.
The verb ""schedule"" is a transitive verb, meaning that it requires an object.  The"
30,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Family owned and operated makes sure the atmosphere is relaxed and the food home - cooked with style .""
Question: In the event ""cooked"", does the participant ""food"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Family owned and operated makes sure the atmosphere is relaxed and the food home - cooked with style.""
Question: In the event ""cooked"", does the participant ""food"" change in state?
Answer: 

A:

The sentence is ambiguous. 

Family owned and operated makes sure the atmosphere is relaxed and the food home - cooked with style.

The first part of the sentence is"
31,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I melt brass and cast it http://www.mikegigi.com/castgobl.htm""
Question: In the event ""cast"", does the participant ""it"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I melt brass and cast it http://www.mikegigi.com/castgobl.htm""
Question: In the event ""cast"", does the participant ""it"" change in state?
Answer: 

Yes, the participant ""it"" changes in state.
No, the participant ""it"" does not change in state.

A:

The participant ""it"""
32,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""What followed the next day is considered by the governor and Dunn to be the pivotal moment of the energy crisis .""
Question: In the event ""followed"", does the participant ""What"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""What followed the next day is considered by the governor and Dunn to be the pivotal moment of the energy crisis.""
Question: In the event ""followed"", does the participant ""What"" change in state?
Answer: 

A:

The answer is no.
The verb ""followed"" is in the past tense, and the past tense of ""follow"" is ""followed"".
"
33,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I dropped the truck off in the morning and it was ready that afternoon .""
Question: In the event ""dropped"", does the participant ""truck"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""I dropped the truck off in the morning and it was ready that afternoon.""
Question: In the event ""dropped"", does the participant ""truck"" change in state?
Answer: 

Yes, the truck changes state.
No, the truck does not change state.

A:

The truck changes state.

The truck is a thing. It is a thing that is"
34,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Most experts believe China intends to develop a small space station of its own over the next several years .""
Question: In the event ""develop"", does the participant ""station"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Most experts believe China intends to develop a small space station of its own over the next several years.""
Question: In the event ""develop"", does the participant ""station"" change in state?
Answer: 

A:

The sentence is ambiguous. 

Most experts believe China intends to develop a small space station of its own over the next several years.

The first part of the"
35,gpt_j,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""They had a room with a $ 99 rate , which I booked .""
Question: In the event ""booked"", does the participant ""I"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""They had a room with a $ 99 rate, which I booked.""
Question: In the event ""booked"", does the participant ""I"" change in state?
Answer: 

A:

The sentence is ambiguous. 

They had a room with a $ 99 rate, which I booked.

The first part of the sentence is a noun phrase, which is a group of"
