,model,exp_type,prompt,pred,true,response
0,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Four guys around a large square open hibachi cook your food , and when it 's finished a server brings it to your table .""
Question: In the event ""finished"", does the participant ""it"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Four guys around a large square open hibachi cook your food, and when it's finished a server brings it to your table.""
Question: In the event ""finished"", does the participant ""it"" change in state?
Answer: 

The answer is yes.

A:

The answer is yes.

The answer is yes.

The answer is yes.
"
1,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""There is considerable evidence that it is developing both a long - range missile force and a range of weapons of mass destruction .""
Question: In the event ""developing"", does the participant ""force"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""There is considerable evidence that it is developing both a long - range missile force and a range of weapons of mass destruction.""
Question: In the event ""developing"", does the participant ""force"" change in state?
Answer: 

The force is developing both a long-range missile force and a range of weapons of mass destruction.

A:

The force is developing both a long-"
2,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The Chili Relleno .. had no batter on it .""
Question: In the event ""had"", does the participant ""Relleno"" change in state?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""The Chili Relleno.. had no batter on it.""
Question: In the event ""had"", does the participant ""Relleno"" change in state?
Answer: 

The Chili Relleno had no batter on it.
The Chili Relleno had no batter on it.
The Chili Relleno had no batter on it.

A:

The answer is yes"
3,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""A NATO spokesman said : "" There 's no tracking mechanism to ensure they do n't fall into the wrong hands .""
Question: In the event ""fall"", does the participant ""they"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""A NATO spokesman said : "" There's no tracking mechanism to ensure they don't fall into the wrong hands.""
Question: In the event ""fall"", does the participant ""they"" change in state?
Answer: 

A:

The sentence is ambiguous. 

There is no tracking mechanism to ensure they do not fall into the wrong hands.

The sentence is ambiguous because"
4,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""you play too much cod ;P""
Question: In the event ""play"", does the participant ""you"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""you play too much cod ;P""
Question: In the event ""play"", does the participant ""you"" change in state?
Answer: 

Yes, the participant ""you"" changes in state.
No, the participant ""you"" does not change in state.

A:

Yes, the participant ""you"" changes in state.

The participant ""you"" changes in"
5,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""We recommend these cabins !""
Question: In the event ""recommend"", does the participant ""cabins"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""We recommend these cabins!""
Question: In the event ""recommend"", does the participant ""cabins"" change in state?
Answer: 

Yes, the participant ""recommends"" the cabin.
No, the participant ""cabins"" does not change in state.

A:

Yes, the participant ""recommends"" the cabin.

The participant """
6,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Xinhua reports that a wide range of Iraqi political forces on Tuesday condemned Sharon 's murder of Sheikh Ahmed Yassin , a religious leader of Hamas , the day before .""
Question: In the event ""condemned"", does the participant ""murder"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Xinhua reports that a wide range of Iraqi political forces on Tuesday condemned Sharon's murder of Sheikh Ahmed Yassin, a religious leader of Hamas, the day before.""
Question: In the event ""condemned"", does the participant ""murder"" change in state?
Answer: 

A:

The sentence is ambiguous. 

""Xinhua reports that a wide range"
7,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .""
Question: In the event ""encircled"", does the participant ""Iran"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Iran is encircled by Afghanistan, by the Gulf States, Iraq and the Moslem republics of the former Soviet Union.""
Question: In the event ""encircled"", does the participant ""Iran"" change in state?
Answer: 

The participant ""Iran"" changes in state.

A:

The answer is yes.
The sentence is a complete sentence.
The participant"
8,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""President Bush loves him .""
Question: In the event ""loves"", does the participant ""him"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""President Bush loves him.""
Question: In the event ""loves"", does the participant ""him"" change in state?
Answer: 

A:

The sentence is ambiguous.

President Bush loves him.

The first part of the sentence is a yes-no question.

In the event ""loves"", does the participant ""him"" change in state?

The"
9,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Last week , Federal District Judge Lynn Hughes in Huston , Texas , threw out Wilson 's two - decades old conviction .""
Question: In the event ""threw"", does the participant ""conviction"" change in state?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Last week, Federal District Judge Lynn Hughes in Huston, Texas, threw out Wilson's two - decades old conviction.""
Question: In the event ""threw"", does the participant ""conviction"" change in state?
Answer:  Yes, the participant ""conviction"" changes in state.

A:

The sentence is correct.
The sentence is correct because the sentence is a question"
10,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
Question: In the event ""have"", does the participant ""cats"" change in state?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
Question: In the event ""have"", does the participant ""cats"" change in state?
Answer: 

A:

The sentence is correct.
The sentence is not correct.
The sentence is not correct because the word ""have"" is not a noun.
"
11,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""We tried 4 different style of donuts , they were all the same when it came to quality .""
Question: In the event ""tried"", does the participant ""style"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""We tried 4 different style of donuts, they were all the same when it came to quality.""
Question: In the event ""tried"", does the participant ""style"" change in state?
Answer: 

We tried 4 different style of donuts, they were all the same when it came to quality.

A:

The sentence is ambiguous. 

We tried 4 different"
12,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I have a question about McDonald 's Monopoly !""
Question: In the event ""have"", does the participant ""question"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""I have a question about McDonald's Monopoly!""
Question: In the event ""have"", does the participant ""question"" change in state?
Answer: 

I have a question about McDonald's Monopoly!

A:

I have a question about McDonald's Monopoly!

The question is a yes-no question. 

I have a question about"
13,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: """" It was about how he could humiliate her the most , "" prosecutor Dean Mandros said in closing arguments .""
Question: In the event ""said"", does the participant ""Mandros"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: """" It was about how he could humiliate her the most, "" prosecutor Dean Mandros said in closing arguments.""
Question: In the event ""said"", does the participant ""Mandros"" change in state?
Answer: 

A:

The sentence is ambiguous. 

It was about how he could humiliate her the most,

The sentence is ambiguous because it is unclear whether the"
14,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""i need to now get a job at house of pies b/c that is the only way to pay the bills .""
Question: In the event ""pay"", does the participant ""bills"" change in state?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""i need to now get a job at house of pies b/c that is the only way to pay the bills.""
Question: In the event ""pay"", does the participant ""bills"" change in state?
Answer: 

The participant ""bills"" is in state ""pay""
The participant ""bills"" is in state ""pay""
The participant ""bills"" is in"
15,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The intruders slit the screen of the window .""
Question: In the event ""slit"", does the participant ""screen"" change in state?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The intruders slit the screen of the window.""
Question: In the event ""slit"", does the participant ""screen"" change in state?
Answer: 

The intruders slit the screen of the window.

A:

The intruders slit the screen of the window.

The intruders slit the screen of the window.

The intruders slit the screen of the"
16,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I enjoyed working with you and wish you the best of everything .""
Question: In the event ""wish"", does the participant ""best"" change in state?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I enjoyed working with you and wish you the best of everything.""
Question: In the event ""wish"", does the participant ""best"" change in state?
Answer: 

I enjoyed working with you and wish you the best of everything.
I enjoyed working with you and wish you the best of everything.
I enjoyed working with you and wish you the best of everything.
I enjoyed working"
17,gpt_neo_1.3b,change_of_state_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""He gave no service to anyone , risked nothing , and did not even slack off efficiently .""
Question: In the event ""gave"", does the participant ""service"" change in state?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""He gave no service to anyone, risked nothing, and did not even slack off efficiently.""
Question: In the event ""gave"", does the participant ""service"" change in state?
Answer: 

A:

The sentence is ambiguous. 

He gave no service to anyone, risked nothing, and did not even slack off efficiently.

The first two sentences are grammatically correct"
