,model,exp_type,verb,action,true,pred,prompt,response
0,jurassic-large,object-control,told,to leave,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to leave.

Question:  Who left, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to leave.\n\nQuestion:  Who left, Tom or Mary?\nAnswer: ', ' Tom left')"
1,jurassic-large,object-control,told,to call home,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to call home.

Question:  Who called home, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to call home.\n\nQuestion:  Who called home, Tom or Mary?\nAnswer: ', ' Tom called')"
2,jurassic-large,object-control,told,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to reply.

Question:  Who replied, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to reply.\n\nQuestion:  Who replied, Tom or Mary?\nAnswer: ', ' Tom replied')"
3,jurassic-large,object-control,told,to wipe the counter,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to wipe the counter.

Question:  Who wiped the counter, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Tom or Mary?\nAnswer: ', ' Tom wiped')"
4,jurassic-large,object-control,told,to dance,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to dance.

Question:  Who danced, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to dance.\n\nQuestion:  Who danced, Tom or Mary?\nAnswer: ', ' Tom danced')"
5,jurassic-large,object-control,ordered,to leave,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom ordered Mary to leave.

Question:  Who left, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom ordered Mary to leave.\n\nQuestion:  Who left, Tom or Mary?\nAnswer: ', ' Tom left')"
6,jurassic-large,object-control,ordered,to call home,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom ordered Mary to call home.

Question:  Who called home, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom ordered Mary to call home.\n\nQuestion:  Who called home, Tom or Mary?\nAnswer: ', ' Tom called')"
7,jurassic-large,object-control,ordered,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom ordered Mary to reply.

Question:  Who replied, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom ordered Mary to reply.\n\nQuestion:  Who replied, Tom or Mary?\nAnswer: ', ' Tom replied')"
8,jurassic-large,object-control,ordered,to wipe the counter,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom ordered Mary to wipe the counter.

Question:  Who wiped the counter, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom ordered Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Tom or Mary?\nAnswer: ', ' Tom wiped')"
9,jurassic-large,object-control,ordered,to dance,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom ordered Mary to dance.

Question:  Who danced, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom ordered Mary to dance.\n\nQuestion:  Who danced, Tom or Mary?\nAnswer: ', ' Tom danced')"
