,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery.\n\nQuestion: Who told Avery to come?\nAnswer:  Casey.\n\nQuestion: Who told Casey to come?\nAnswer:  Avery.\n\nQuestion: Who told Casey to come?\nAnswer:  Casey.\n\nQuestion: Who told Casey to come?\nAnswer:  Avery.\n')",0.0
1,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery.\n\nQuestion: Who told Avery to come?\nAnswer:  Casey.\n\nQuestion: Who told Casey to come?\nAnswer:  Avery.\n\nQuestion: Who told Casey to come?\nAnswer:  Casey.\n\nQuestion: Who told Casey to come?\nAnswer:  Avery.\n')",1.0
2,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nQuestion: Who told Avery to go?\nAnswer:  Casey.\n\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nQuestion: Who told Casey to go?\nAnswer:  Casey.\n\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n')",2.0
3,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nQuestion: Who told Avery to go?\nAnswer:  Casey.\n\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nQuestion: Who told Casey to go?\nAnswer:  Casey.\n\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n')",3.0
4,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nAvery told Casey to read.\n\nA:\n\nThe answer is:\n\n Casey told Avery to read.\n\nThe context is:\n\n Avery told Casey to read.\n\nThe question is:\n\n Who told Casey to read?\n\nThe answer is:\n\n Avery told Casey to read.\n\n')",4.0
5,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nAvery told Casey to read.\n\nA:\n\nThe answer is:\n\n Casey told Avery to read.\n\nThe context is:\n\n Avery told Casey to read.\n\nThe question is:\n\n Who told Casey to read?\n\nThe answer is:\n\n Avery told Casey to read.\n\n')",5.0
6,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery.\n\nQuestion: Who told Avery to run?\nAnswer:  Casey.\n\nQuestion: Who told Casey to run?\nAnswer:  Avery.\n\nQuestion: Who told Casey to run?\nAnswer:  Casey.\n\nQuestion: Who told Casey to run?\nAnswer:  Avery.\n')",6.0
7,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery.\n\nQuestion: Who told Avery to run?\nAnswer:  Casey.\n\nQuestion: Who told Casey to run?\nAnswer:  Avery.\n\nQuestion: Who told Casey to run?\nAnswer:  Casey.\n\nQuestion: Who told Casey to run?\nAnswer:  Avery.\n')",7.0
8,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nQuestion: Who told Avery to call?\nAnswer:  Casey.\n\nQuestion: Who told Casey to call?\nAnswer:  Avery.\n\nQuestion: Who told Casey to call?\nAnswer:  Casey.\n\nQuestion: Who told Casey to call?\nAnswer:  Avery.\n')",8.0
9,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nQuestion: Who told Avery to call?\nAnswer:  Casey.\n\nQuestion: Who told Casey to call?\nAnswer:  Avery.\n\nQuestion: Who told Casey to call?\nAnswer:  Casey.\n\nQuestion: Who told Casey to call?\nAnswer:  Avery.\n')",9.0
