,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t5,subject-control,Avery,Casey,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Casey to come. </s>,"('question: Who promised someone to come? context: Avery promised Casey to come. </s>', 'Avery')",0.0
1,t5,subject-control,Avery,Casey,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Casey to come. </s>,"('question: Who promised someone to come? context: Avery promised Casey to come. </s>', 'Avery')",1.0
2,t5,subject-control,Avery,Casey,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Casey to go. </s>,"('question: Who promised someone to go? context: Avery promised Casey to go. </s>', 'Avery')",2.0
3,t5,subject-control,Avery,Casey,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Casey to go. </s>,"('question: Who promised someone to go? context: Avery promised Casey to go. </s>', 'Avery')",3.0
4,t5,subject-control,Avery,Casey,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Casey to read. </s>,"('question: Who promised someone to read? context: Avery promised Casey to read. </s>', 'Avery')",4.0
5,t5,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Casey to read. </s>,"('question: Who promised someone to read? context: Avery promised Casey to read. </s>', 'Avery')",5.0
6,t5,subject-control,Avery,Casey,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Casey to run. </s>,"('question: Who promised someone to run? context: Avery promised Casey to run. </s>', 'Avery')",6.0
7,t5,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Casey to run. </s>,"('question: Who promised someone to run? context: Avery promised Casey to run. </s>', 'Avery')",7.0
8,t5,subject-control,Avery,Casey,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Casey to call. </s>,"('question: Who promised someone to call? context: Avery promised Casey to call. </s>', 'Avery')",8.0
9,t5,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Casey to call. </s>,"('question: Who promised someone to call? context: Avery promised Casey to call. </s>', 'Avery')",9.0
10,t5,subject-control,Avery,Joseph,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Joseph to come. </s>,"('question: Who promised someone to come? context: Avery promised Joseph to come. </s>', 'Avery')",10.0
11,t5,subject-control,Avery,Joseph,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Joseph to come. </s>,"('question: Who promised someone to come? context: Avery promised Joseph to come. </s>', 'Avery')",11.0
