,model,exp_type,prompt,pred,true,response
0,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me .""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: 
No
Sentence: ""I put my foot in the water and it was cool .""
Question: In the event ""put"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""From my first encounter at check in to my regrettable check out I found the staff and facility to exceed my expectation .""
Question: In the event ""found"", does the state of the participant ""staff"" change?
Answer: 
No
Sentence: ""Dessert was ... hmmm , that 's interesting , I do n't even remember dessert .""
Question: In the event ""remember"", does the state of the participant ""I"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me.""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: 
No
Sentence: ""I put my foot in the water and it was cool.""
Question: In the event ""put"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""From my first encounter at check in to my regrettable check out I found the staff and facility to exceed my expectation.""
Question: In the event ""found"", does the state of the participant ""staff"" change?
Answer: 
No
Sentence: ""Dessert was... hmmm, that's interesting, I don't even remember dessert.""
Question: In the event ""remember"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""I was... I was... I was...""
Question: In the event ""was"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""I was... I was... I was...""
Question: In the event ""was"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""I was... I was... I was...""
Question: In the event ""was"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""I was... I was... I was...""
Question: In the event ""was"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""I was... I was... I was...""
Question: In the event ""was"", does the state"
1,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""The bombings implicated Muslims , and exacerbated regional tensions which the Bush regime and its friends wearing the brass in the Philippine military sought to exploit .""
Question: In the event ""implicated"", does the state of the participant ""bombings"" change?
Answer: 
No
Sentence: ""Prices for electricity jumped from an average of $ 249 a megawatt to $ 700 a megawatt within three days , ISO records show .""
Question: In the event ""jumped"", does the state of the participant ""Prices"" change?
Answer: 
Yes
Sentence: ""From the moment you enter the restaurant , you know you are some place special .""
Question: In the event ""know"", does the state of the participant ""you"" change?
Answer: 
Yes
Sentence: ""they fixed my garage doors in literally less than an hour .""
Question: In the event ""fixed"", does the state of the participant ""doors"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The bombings implicated Muslims, and exacerbated regional tensions which the Bush regime and its friends wearing the brass in the Philippine military sought to exploit.""
Question: In the event ""implicated"", does the state of the participant ""bombings"" change?
Answer: 
No
Sentence: ""Prices for electricity jumped from an average of $ 249 a megawatt to $ 700 a megawatt within three days, ISO records show.""
Question: In the event ""jumped"", does the state of the participant ""Prices"" change?
Answer: 
Yes
Sentence: ""From the moment you enter the restaurant, you know you are some place special.""
Question: In the event ""know"", does the state of the participant ""you"" change?
Answer: 
Yes
Sentence: ""they fixed my garage doors in literally less than an hour.""
Question: In the event ""fixed"", does the state of the participant ""doors"" change?
Answer: 
Yes
Sentence: ""The police arrested the driver of the car, and the driver of the car arrested the police.""
Question: In the event ""arrested"", does the state of the participant ""car"" change?
Answer: 
Yes
Sentence: ""The police arrested the driver of the car, and the driver of the car arrested the police.""
Question: In the event ""arrested"", does the state of the participant ""car"" change?
Answer: 
Yes
Sentence: ""The police arrested the driver of the car, and the driver of the car arrested the police.""
Question: In the event ""arrested"", does the state of the participant ""car"" change?
Answer: 
Yes
Sentence: ""The police arrested the driver of the car, and the driver of the car"
2,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Bangs said the agency has established viable wolf packs in the northern Rockies , as required by federal regulations .""
Question: In the event ""said"", does the state of the participant ""Bangs"" change?
Answer: 
No
Sentence: ""I enjoyed your recent e-mail but was sorry to hear about your dad .""
Question: In the event ""enjoyed"", does the state of the participant ""e-mail"" change?
Answer: 
No
Sentence: ""No water needed ( as with tablets or capsules )""
Question: In the event ""needed"", does the state of the participant ""water"" change?
Answer: 
No
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me .""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Bangs said the agency has established viable wolf packs in the northern Rockies, as required by federal regulations.""
Question: In the event ""said"", does the state of the participant ""Bangs"" change?
Answer: 
No
Sentence: ""I enjoyed your recent e-mail but was sorry to hear about your dad.""
Question: In the event ""enjoyed"", does the state of the participant ""e-mail"" change?
Answer: 
No
Sentence: ""No water needed ( as with tablets or capsules )""
Question: In the event ""needed"", does the state of the participant ""water"" change?
Answer: 
No
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me.""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: 
No
Sentence: ""I am not a fan of the new'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the'sport' of the's"
3,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .""
Question: In the event ""died"", does the state of the participant ""eyewitness"" change?
Answer: 
Yes
Sentence: ""Mine learned to "" go to the bathroom "" only in their cages and loved to ride on my shoulder or hang out in my hoodie pouch .""
Question: In the event ""learned"", does the state of the participant ""Mine"" change?
Answer: 
Yes
Sentence: ""Loads of places have geographical hazards , if you are constantly paranoid , you 'll never get anywhere without a sense of adventure .""
Question: In the event ""have"", does the state of the participant ""Loads"" change?
Answer: 
No
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday .""
Question: In the event ""closed"", does the state of the participant ""office"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.""
Question: In the event ""died"", does the state of the participant ""eyewitness"" change?
Answer: 
Yes
Sentence: ""Mine learned to "" go to the bathroom "" only in their cages and loved to ride on my shoulder or hang out in my hoodie pouch.""
Question: In the event ""learned"", does the state of the participant ""Mine"" change?
Answer: 
Yes
Sentence: ""Loads of places have geographical hazards, if you are constantly paranoid, you 'll never get anywhere without a sense of adventure.""
Question: In the event ""have"", does the state of the participant ""Loads"" change?
Answer: 
No
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday.""
Question: In the event ""closed"", does the state of the participant ""office"" change?
Answer: 
No
Sentence: ""I was told that the police were going to arrest me.""
Question: In the event ""arrest"", does the state of the participant ""police"" change?
Answer: 
No
Sentence: ""I was told that the police were going to arrest me.""
Question: In the event ""arrest"", does the state of the participant ""police"" change?
Answer: 
No
Sentence: ""I was told that the police were going to arrest me.""
Question: In the event ""arrest"", does the state of the participant ""police"" change?
Answer: 
No
Sentence: ""I was told that the police were going to arrest me.""
Question: In the event"
4,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .""
Question: In the event ""destroyed"", does the state of the participant ""stockpiles"" change?
Answer: 
Yes
Sentence: ""She said a shower would be grand .""
Question: In the event ""said"", does the state of the participant ""She"" change?
Answer: 
No
Sentence: ""they fixed my garage doors in literally less than an hour .""
Question: In the event ""fixed"", does the state of the participant ""doors"" change?
Answer: 
Yes
Sentence: ""You have two screws that attach the sight to the wang .""
Question: In the event ""have"", does the state of the participant ""You"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""By the late 1990s, Iraq had no nuclear or biological weapons program, and had destroyed its chemical weapons stockpiles.""
Question: In the event ""destroyed"", does the state of the participant ""stockpiles"" change?
Answer: 
Yes
Sentence: ""She said a shower would be grand.""
Question: In the event ""said"", does the state of the participant ""She"" change?
Answer: 
No
Sentence: ""they fixed my garage doors in literally less than an hour.""
Question: In the event ""fixed"", does the state of the participant ""doors"" change?
Answer: 
Yes
Sentence: ""You have two screws that attach the sight to the wang.""
Question: In the event ""have"", does the state of the participant ""You"" change?
Answer: 
Yes
Sentence: ""I have a friend who is a doctor.""
Question: In the event ""friend"", does the state of the participant ""doctor"" change?
Answer: 
No
Sentence: ""I have a friend who is a doctor.""
Question: In the event ""friend"", does the state of the participant ""doctor"" change?
Answer: 
No
Sentence: ""I have a friend who is a doctor.""
Question: In the event ""friend"", does the state of the participant ""doctor"" change?
Answer: 
No
Sentence: ""I have a friend who is a doctor.""
Question: In the event ""friend"", does the state of the participant ""doctor"" change?
Answer: 
No
Sentence: ""I have a friend who is a doctor.""
Question: In the event ""friend"", does the state of the participant ""doctor"" change?
Answer: 
No
Sentence: """
5,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""On the one hand , the IPN report agreed "" Climate models generally predict that the temperature rises in the Arctic will substantially exceed the global rise .""
Question: In the event ""exceed"", does the state of the participant ""rise"" change?
Answer: 
Yes
Sentence: ""He dated a beautiful young woman working on the campaign .""
Question: In the event ""dated"", does the state of the participant ""He"" change?
Answer: 
Yes
Sentence: ""Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .""
Question: In the event ""encircled"", does the state of the participant ""Iran"" change?
Answer: 
Yes
Sentence: ""Previous reviewers said they were pushy and I can understand that , but I find the staff more helpful than anything else .""
Question: In the event ""understand"", does the state of the participant ""I"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""On the one hand, the IPN report agreed "" Climate models generally predict that the temperature rises in the Arctic will substantially exceed the global rise.""
Question: In the event ""exceed"", does the state of the participant ""rise"" change?
Answer: 
Yes
Sentence: ""He dated a beautiful young woman working on the campaign.""
Question: In the event ""dated"", does the state of the participant ""He"" change?
Answer: 
Yes
Sentence: ""Iran is encircled by Afghanistan, by the Gulf States, Iraq and the Moslem republics of the former Soviet Union.""
Question: In the event ""encircled"", does the state of the participant ""Iran"" change?
Answer: 
Yes
Sentence: ""Previous reviewers said they were pushy and I can understand that, but I find the staff more helpful than anything else.""
Question: In the event ""understand"", does the state of the participant ""I"" change?
Answer: 
Yes
Sentence: ""The new report is a good one, but I think the report is a bit too long and the conclusions are a bit too strong.""
Question: In the event ""too long"", does the state of the participant ""The"" change?
Answer: 
Yes
Sentence: ""The new report is a good one, but I think the report is a bit too long and the conclusions are a bit too strong.""
Question: In the event ""too strong"", does the state of the participant ""The"" change?
Answer: 
Yes
Sentence: ""The new report is a good one, but I think the report is a bit too long and the conclusions are a bit too strong.""
Question: In the event ""too long"", does the state of the participant ""The"" change?"
6,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I have the opportunity to pick up a super nice 6 year old for free .""
Question: In the event ""have"", does the state of the participant ""opportunity"" change?
Answer: 
No
Sentence: ""they use them to look prickly .. would you try to eat a cactus [ if u had no knife ] i know i would nt .""
Question: In the event ""eat"", does the state of the participant ""cactus"" change?
Answer: 
Yes
Sentence: ""They kill people .""
Question: In the event ""kill"", does the state of the participant ""people"" change?
Answer: 
Yes
Sentence: ""The web site is""
Question: In the event ""is"", does the state of the participant ""site"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I have the opportunity to pick up a super nice 6 year old for free.""
Question: In the event ""have"", does the state of the participant ""opportunity"" change?
Answer: 
No
Sentence: ""they use them to look prickly.. would you try to eat a cactus [ if u had no knife ] i know i would nt.""
Question: In the event ""eat"", does the state of the participant ""cactus"" change?
Answer: 
Yes
Sentence: ""They kill people.""
Question: In the event ""kill"", does the state of the participant ""people"" change?
Answer: 
Yes
Sentence: ""The web site is""
Question: In the event ""is"", does the state of the participant ""site"" change?
Answer: 
Yes
Sentence: ""I have the opportunity to pick up a super nice 6 year old for free.""
Question: In the event ""have"", does the state of the participant ""opportunity"" change?
Answer: 
No
Sentence: ""they use them to look prickly.. would you try to eat a cactus [ if u had no knife ] i know i would nt.""
Question: In the event ""eat"", does the state of the participant ""cactus"" change?
Answer: 
Yes
Sentence: ""They kill people.""
Question: In the event ""kill"", does the state of the participant ""people"" change?
Answer: 
Yes
Sentence: ""The web site is""
Question: In the event ""is"", does the state of the participant ""site"" change?
Answer: 
Yes
Sentence: ""I have the opportunity to pick up a super nice 6 year old for free.""
Question: In"
7,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""He eats all of his grain but it just takes him a while to get it chewed because of the lack of muscle in his jaws .""
Question: In the event ""eats"", does the state of the participant ""all"" change?
Answer: 
Yes
Sentence: ""There is no pleasure in having nothing to do ; the fun is in having lots to do and not doing it .""
Question: In the event ""is"", does the state of the participant ""pleasure"" change?
Answer: 
No
Sentence: ""He said it was the same tire , and verified this , after checking both the actual tire on my car and my service papers from earlier in the week .""
Question: In the event ""said"", does the state of the participant ""He"" change?
Answer: 
No
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed .""
Question: In the event ""struck"", does the state of the participant ""him"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""He eats all of his grain but it just takes him a while to get it chewed because of the lack of muscle in his jaws.""
Question: In the event ""eats"", does the state of the participant ""all"" change?
Answer: 
Yes
Sentence: ""There is no pleasure in having nothing to do ; the fun is in having lots to do and not doing it.""
Question: In the event ""is"", does the state of the participant ""pleasure"" change?
Answer: 
No
Sentence: ""He said it was the same tire, and verified this, after checking both the actual tire on my car and my service papers from earlier in the week.""
Question: In the event ""said"", does the state of the participant ""He"" change?
Answer: 
No
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed.""
Question: In the event ""struck"", does the state of the participant ""him"" change?
Answer: 
No
Sentence: ""He was a very good shot and he was very good at it.""
Question: In the event ""was"", does the state of the participant ""him"" change?
Answer: 
No
Sentence: ""He was a very good shot and he was very good at it.""
Question: In the event ""was"", does the state of the participant ""him"" change?
Answer: 
No
Sentence: ""He was a very good shot and he was very good at it.""
Question: In the event ""was"", does the state of the participant ""him"" change?
Answer: 
No
Sentence: ""He was a very good shot and he was very good at it.""
Question"
8,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""A state Senate committee is set today to start serving 16 subpoenas on electricity producers and officials who manage California 's energy grid to determine whether they acted in concert to manipulate energy prices .""
Question: In the event ""serving"", does the state of the participant ""subpoenas"" change?
Answer: 
No
Sentence: ""Damage estimates of more than $ 25 bn suggest it could be the US insurance industry 's most expensive natural disaster ever .""
Question: In the event ""suggest"", does the state of the participant ""estimates"" change?
Answer: 
No
Sentence: """" Nobody thinks that there will be a lot of oil and gas in this part of the world , "" he said .""
Question: In the event ""said"", does the state of the participant ""he"" change?
Answer: 
No
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me .""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""A state Senate committee is set today to start serving 16 subpoenas on electricity producers and officials who manage California's energy grid to determine whether they acted in concert to manipulate energy prices.""
Question: In the event ""serving"", does the state of the participant ""subpoenas"" change?
Answer: 
No
Sentence: ""Damage estimates of more than $ 25 bn suggest it could be the US insurance industry's most expensive natural disaster ever.""
Question: In the event ""suggest"", does the state of the participant ""estimates"" change?
Answer: 
No
Sentence: """" Nobody thinks that there will be a lot of oil and gas in this part of the world, "" he said.""
Question: In the event ""said"", does the state of the participant ""he"" change?
Answer: 
No
Sentence: ""It is the marrying off of young girls to older men often close relatives that enfurates me.""
Question: In the event ""enfurates"", does the state of the participant ""marrying"" change?
Answer: 
No
Sentence: ""The state of the participants's'marriage' is a 'close' one.""
Question: In the event ""said"", does the state of the participant ""close"" change?
Answer: 
No
Sentence: ""The state of the participants's'marriage' is a 'close' one.""
Question: In the event ""said"", does the state of the participant ""close"" change?
Answer: 
No
Sentence: ""The state of the participants's'marriage' is a 'close' one.""
Question: In the event ""said"", does the state of the participant ""close"" change?
Answer: 
No
Sentence: ""The state of the"
9,gpt_neo_1.3b,change_of_state_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""We need to change the Prod Description fro the LME Product .""
Question: In the event ""change"", does the state of the participant ""Description"" change?
Answer: 
Yes
Sentence: ""I detect the hissing lisp of the lying serpent in this article .""
Question: In the event ""detect"", does the state of the participant ""lisp"" change?
Answer: 
No
Sentence: ""I have my paralegal gathering the pleadings Enron requested .""
Question: In the event ""requested"", does the state of the participant ""Enron"" change?
Answer: 
No
Sentence: ""This draft reflects the changes we discussed during our call the other day .""
Question: In the event ""reflects"", does the state of the participant ""changes"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""We need to change the Prod Description fro the LME Product.""
Question: In the event ""change"", does the state of the participant ""Description"" change?
Answer: 
Yes
Sentence: ""I detect the hissing lisp of the lying serpent in this article.""
Question: In the event ""detect"", does the state of the participant ""lisp"" change?
Answer: 
No
Sentence: ""I have my paralegal gathering the pleadings Enron requested.""
Question: In the event ""requested"", does the state of the participant ""Enron"" change?
Answer: 
No
Sentence: ""This draft reflects the changes we discussed during our call the other day.""
Question: In the event ""reflects"", does the state of the participant ""changes"" change?
Answer: 
Yes
Sentence: ""I have a copy of the draft of the letter we discussed.""
Question: In the event ""discussed"", does the state of the participant ""letter"" change?
Answer: 
No
Sentence: ""I have a copy of the letter we discussed.""
Question: In the event ""discussed"", does the state of the participant ""letter"" change?
Answer: 
No
Sentence: ""I have a copy of the letter we discussed.""
Question: In the event ""discussed"", does the state of the participant ""letter"" change?
Answer: 
No
Sentence: ""I have a copy of the letter we discussed.""
Question: In the event ""discussed"", does the state of the participant ""letter"" change?
Answer: 
No
Sentence: ""I have a copy of the letter we discussed.""
Question: In the event ""discussed"", does the state of the participant """
