,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I assume you are talking about a pacman frog .""
Question: In the event ""assume"", does the participant ""I"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I assume you are talking about a pacman frog.""
Question: In the event ""assume"", does the participant ""I"" act on purpose?
Answer: 

A:

I assume you are talking about a pacman frog.

This is a question.  The question is ""In the event 'assume', does the participant 'I' act on purpose?""  The answer",0.0
1,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""There are a lot of genetics at play between a Sussex and Silkie , so the offspring would vary in appearance .""
Question: In the event ""vary"", does the participant ""offspring"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""There are a lot of genetics at play between a Sussex and Silkie, so the offspring would vary in appearance.""
Question: In the event ""vary"", does the participant ""offspring"" act on purpose?
Answer: 

The offspring would vary in appearance.

A:

The offspring would vary in appearance.

The offspring would vary in appearance.

The offspring would",1.0
2,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday .""
Question: In the event ""told"", does the participant ""Obina"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday.""
Question: In the event ""told"", does the participant ""Obina"" act on purpose?
Answer: 

A:

Yes, the participant ""Obina"" acts on purpose.

The participant ""Obina"" is the one who tells the doctor that his office closed at noon",2.0
3,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I had a routine surgery for an ingrown toenail .""
Question: In the event ""had"", does the participant ""surgery"" act on purpose?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I had a routine surgery for an ingrown toenail.""
Question: In the event ""had"", does the participant ""surgery"" act on purpose?
Answer: 

A:

The answer is yes.
The sentence is a question, and the answer is yes.
The sentence is a question, and the answer is yes.
The sentence is a question, and the answer",3.0
4,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I wish that I had n't done this .""
Question: In the event ""wish"", does the participant ""I"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I wish that I hadn't done this.""
Question: In the event ""wish"", does the participant ""I"" act on purpose?
Answer: 

I wish that I had not done this.
I wish that I had not done this.
I wish that I had not done this.
I wish that I had not done this.
I wish that I had not done this",4.0
5,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I knew a cat that died in its sleep aged 21 .""
Question: In the event ""knew"", does the participant ""cat"" act on purpose?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I knew a cat that died in its sleep aged 21.""
Question: In the event ""knew"", does the participant ""cat"" act on purpose?
Answer: 

A:

I think the answer is yes.
The sentence is a question, and the answer is yes.
The cat is a noun, and the sentence is a question.
The cat is a noun, and",5.0
6,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The situation appears to be even worse in Mississippi .""
Question: In the event ""appears"", does the participant ""situation"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""The situation appears to be even worse in Mississippi.""
Question: In the event ""appears"", does the participant ""situation"" act on purpose?
Answer: 

The situation appears to be worse in Mississippi.

The situation appears to be worse in Mississippi.

The situation appears to be worse in Mississippi.

The situation appears to be worse in Mississippi.

The situation appears",6.0
7,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""oh god is there an agenda .""
Question: In the event ""is"", does the participant ""agenda"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""oh god is there an agenda.""
Question: In the event ""is"", does the participant ""agenda"" act on purpose?
Answer: 

""oh god is there an agenda.""

is a yes-no question.

A:

Yes, it is a yes-no question.

""oh god is there an agenda.""

is a yes-no question",7.0
8,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps , records and interviews show .""
Question: In the event ""defied"", does the participant ""Winter"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps, records and interviews show.""
Question: In the event ""defied"", does the participant ""Winter"" act on purpose?
Answer: 

A:

The word ""defied"" is a noun, and the verb ""to defy"" is a verb. 
The verb """,8.0
9,gpt_neo_1.3b,volition_2_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The US Marines took most of Fallujah Wednesday , but still face pockets of resistance .""
Question: In the event ""took"", does the participant ""Marines"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The US Marines took most of Fallujah Wednesday, but still face pockets of resistance.""
Question: In the event ""took"", does the participant ""Marines"" act on purpose?
Answer: 

The US Marines took most of Fallujah Wednesday, but still face pockets of resistance.

A:

The sentence is ambiguous. 

The US Marines took most of Fallujah Wednesday",9.0
