,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""The millions who died in the Iran - Iraq war had nothing to do with Israel .""
Question: In the event ""died"", does the participant ""millions"" act on purpose?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can .""
Question: In the event ""had"", does the participant ""We"" act on purpose?
Answer: No
Sentence: ""I assume you are talking about a pacman frog .""
Question: In the event ""assume"", does the participant ""I"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The millions who died in the Iran - Iraq war had nothing to do with Israel.""
Question: In the event ""died"", does the participant ""millions"" act on purpose?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can.""
Question: In the event ""had"", does the participant ""We"" act on purpose?
Answer: No
Sentence: ""I assume you are talking about a pacman frog.""
Question: In the event ""assume"", does the participant ""I"" act on purpose?
Answer: 

A:

The answer to your question is no.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel.
The millions who died in the Iran-Iraq war had nothing to do with Israel",0.0
1,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Last month , Nasrallah announced that his party would close ranks with Hamas .""
Question: In the event ""close"", does the participant ""party"" act on purpose?
Answer: Yes
Sentence: ""I extend my hand to each of you in true friendship , and honor .""
Question: In the event ""extend"", does the participant ""hand"" act on purpose?
Answer: No
Sentence: ""There are a lot of genetics at play between a Sussex and Silkie , so the offspring would vary in appearance .""
Question: In the event ""vary"", does the participant ""offspring"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Last month, Nasrallah announced that his party would close ranks with Hamas.""
Question: In the event ""close"", does the participant ""party"" act on purpose?
Answer: Yes
Sentence: ""I extend my hand to each of you in true friendship, and honor.""
Question: In the event ""extend"", does the participant ""hand"" act on purpose?
Answer: No
Sentence: ""There are a lot of genetics at play between a Sussex and Silkie, so the offspring would vary in appearance.""
Question: In the event ""vary"", does the participant ""offspring"" act on purpose?
Answer:  Yes

A:

Yes, the participants in the sentences act on purpose.

Last month, Nasrallah announced that his party would close ranks with Hamas.

The party is the subject of the verb ""close"".

I extend my hand to each of you in true friendship, and honor.

The hand is the subject of the verb ""extend"".

There are a lot of genetics at play between a Sussex and Silkie, so the offspring would vary in appearance.

The offspring is the subject of the verb ""vary"".

I extend my hand to each of you in true friendship, and honor.

The hand is the subject of the verb ""ext",1.0
2,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""You take a boat across the river , then spend a day biking , eating at a local restaurant , buying souvenirs and doing other things that are geared towards tourists .""
Question: In the event ""buying"", does the participant ""souvenirs"" act on purpose?
Answer: No
Sentence: ""He said they are looking for people and based on what I told him an interview was a formality .""
Question: In the event ""said"", does the participant ""He"" act on purpose?
Answer: Yes
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday .""
Question: In the event ""told"", does the participant ""Obina"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""You take a boat across the river, then spend a day biking, eating at a local restaurant, buying souvenirs and doing other things that are geared towards tourists.""
Question: In the event ""buying"", does the participant ""souvenirs"" act on purpose?
Answer: No
Sentence: ""He said they are looking for people and based on what I told him an interview was a formality.""
Question: In the event ""said"", does the participant ""He"" act on purpose?
Answer: Yes
Sentence: ""Dr. Obina told me that his office closed at noon and that I should call him on Monday.""
Question: In the event ""told"", does the participant ""Obina"" act on purpose?
Answer:  Yes

A:

The answer to your question is yes.
The reason is that the verb ""act"" is a transitive verb, which means that it requires an object.
In your example, the object of the verb ""act"" is ""souvenirs"".
The verb ""act"" is a transitive verb, which means that it requires an object.
In your example, the object of the verb ""act"" is ""souvenirs"".
The verb ""act"" is a transitive verb, which means that it requires an object.
In your example, the",2.0
3,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I promise you that if you follow the directions exactly that you will start making more money than you thought possible by doing something so easy !!""
Question: In the event ""follow"", does the participant ""directions"" act on purpose?
Answer: No
Sentence: """" They can freely write anything they like about our prophet , but if one raises doubts about the Holocaust he is either fined or sent to prison , "" he added .""
Question: In the event ""write"", does the participant ""anything"" act on purpose?
Answer: No
Sentence: ""I had a routine surgery for an ingrown toenail .""
Question: In the event ""had"", does the participant ""surgery"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I promise you that if you follow the directions exactly that you will start making more money than you thought possible by doing something so easy!!""
Question: In the event ""follow"", does the participant ""directions"" act on purpose?
Answer: No
Sentence: """" They can freely write anything they like about our prophet, but if one raises doubts about the Holocaust he is either fined or sent to prison, "" he added.""
Question: In the event ""write"", does the participant ""anything"" act on purpose?
Answer: No
Sentence: ""I had a routine surgery for an ingrown toenail.""
Question: In the event ""had"", does the participant ""surgery"" act on purpose?
Answer: 

A:

The answer to the first question is no. 
The answer to the second question is yes. 
The answer to the third question is no. 
The answer to the fourth question is yes. 
The answer to the fifth question is no. 
The answer to the sixth question is yes. 
The answer to the seventh question is no. 
The answer to the eighth question is yes. 
The answer to the ninth question is no. 
The answer to the tenth question is yes. 
The answer to the eleventh question is no. 
The answer",3.0
4,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Attorney General Ashcroft explained that an "" either - or "" approach is not useful .""
Question: In the event ""explained"", does the participant ""Ashcroft"" act on purpose?
Answer: Yes
Sentence: ""Yes , they all have secret locator chips , just like gps""
Question: In the event ""have"", does the participant ""chips"" act on purpose?
Answer: No
Sentence: ""I wish that I had n't done this .""
Question: In the event ""wish"", does the participant ""I"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Attorney General Ashcroft explained that an "" either - or "" approach is not useful.""
Question: In the event ""explained"", does the participant ""Ashcroft"" act on purpose?
Answer: Yes
Sentence: ""Yes, they all have secret locator chips, just like gps""
Question: In the event ""have"", does the participant ""chips"" act on purpose?
Answer: No
Sentence: ""I wish that I hadn't done this.""
Question: In the event ""wish"", does the participant ""I"" act on purpose?
Answer:  Yes

A:

Yes, the participant ""Ashcroft"" acts on purpose.
Yes, the participant ""chips"" acts on purpose.
Yes, the participant ""I"" acts on purpose.

The reason is that the sentence is a question, and the question is about the speaker's state of mind.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker is expressing regret about something that happened.  The speaker",4.0
5,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Most of the deals let you eat for 500 ff , and some of the deals are even free .""
Question: In the event ""eat"", does the participant ""you"" act on purpose?
Answer: Yes
Sentence: ""They both went to jail and a new manager was put in charge of the apartments .""
Question: In the event ""went"", does the participant ""They"" act on purpose?
Answer: No
Sentence: ""I knew a cat that died in its sleep aged 21 .""
Question: In the event ""knew"", does the participant ""cat"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Most of the deals let you eat for 500 ff, and some of the deals are even free.""
Question: In the event ""eat"", does the participant ""you"" act on purpose?
Answer: Yes
Sentence: ""They both went to jail and a new manager was put in charge of the apartments.""
Question: In the event ""went"", does the participant ""They"" act on purpose?
Answer: No
Sentence: ""I knew a cat that died in its sleep aged 21.""
Question: In the event ""knew"", does the participant ""cat"" act on purpose?
Answer:  Yes

A:

The answer to your question is yes.
The reason is that the subject of the sentence is the person who is doing the action.
In the first sentence, the subject is ""most of the deals"".
In the second sentence, the subject is ""they"".
In the third sentence, the subject is ""a cat"".
In the fourth sentence, the subject is ""I"".
In the fifth sentence, the subject is ""a cat"".
In the sixth sentence, the subject is ""a cat"".
In the seventh sentence, the subject is ""a cat"".
In the eighth sentence, the subject is ""a cat"".
In the ninth sentence, the subject is ""a cat"".
In the tenth",5.0
6,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I guess if you are someone not familiar with how NASA benefits our society I can see how one might form the opinion of yheggy - ga .""
Question: In the event ""guess"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""I saw a site that charges $ 0.70 per mile .""
Question: In the event ""saw"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""The situation appears to be even worse in Mississippi .""
Question: In the event ""appears"", does the participant ""situation"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I guess if you are someone not familiar with how NASA benefits our society I can see how one might form the opinion of yheggy - ga.""
Question: In the event ""guess"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""I saw a site that charges $ 0.70 per mile.""
Question: In the event ""saw"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""The situation appears to be even worse in Mississippi.""
Question: In the event ""appears"", does the participant ""situation"" act on purpose?
Answer: 

A:

The answer to the first question is yes. 
The answer to the second question is yes. 
The answer to the third question is no. 
The answer to the fourth question is no. 
The answer to the fifth question is no. 
The answer to the sixth question is no. 
The answer to the seventh question is no. 
The answer to the eighth question is no. 
The answer to the ninth question is no. 
The answer to the tenth question is no. 
The answer to the eleventh question is no. 
The answer to the twelfth question is no. 
The answer to the thirteenth question is",6.0
7,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""He dated a beautiful young woman working on the campaign .""
Question: In the event ""dated"", does the participant ""woman"" act on purpose?
Answer: Yes
Sentence: """" They filed an emergency motion , and we were not about to let California go dark , '' Hoecker said .""
Question: In the event ""said"", does the participant ""Hoecker"" act on purpose?
Answer: Yes
Sentence: ""oh god is there an agenda .""
Question: In the event ""is"", does the participant ""agenda"" act on purpose?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""He dated a beautiful young woman working on the campaign.""
Question: In the event ""dated"", does the participant ""woman"" act on purpose?
Answer: Yes
Sentence: """" They filed an emergency motion, and we were not about to let California go dark, '' Hoecker said.""
Question: In the event ""said"", does the participant ""Hoecker"" act on purpose?
Answer: Yes
Sentence: ""oh god is there an agenda.""
Question: In the event ""is"", does the participant ""agenda"" act on purpose?
Answer: 

A:

Yes, the participants in the sentences act on purpose.
The verb ""date"" is a transitive verb, meaning that it requires a direct object.  The direct object of the verb ""date"" is the person or thing that is being dated.  In the sentence ""He dated a beautiful young woman working on the campaign"", the direct object of the verb ""date"" is the person or thing being dated.  In the sentence ""He dated a beautiful young woman working on the campaign"", the direct object of the verb ""date"" is the person or thing being dated.  In the sentence ""He dated a beautiful young woman working on the campaign"", the direct object of the verb ""date"" is the person or thing being dated.
The verb ""said",7.0
8,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I hope they get there act together ...""
Question: In the event ""hope"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""i want to hook up with that girl paige in the brown leather jacket .""
Question: In the event ""want"", does the participant ""i"" act on purpose?
Answer: Yes
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps , records and interviews show .""
Question: In the event ""defied"", does the participant ""Winter"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I hope they get there act together...""
Question: In the event ""hope"", does the participant ""I"" act on purpose?
Answer: Yes
Sentence: ""i want to hook up with that girl paige in the brown leather jacket.""
Question: In the event ""want"", does the participant ""i"" act on purpose?
Answer: Yes
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps, records and interviews show.""
Question: In the event ""defied"", does the participant ""Winter"" act on purpose?
Answer: 

A:

Yes, the subject of the sentence is the person who is doing the action.

I hope they get there act together.

The subject is ""they"".

I want to hook up with that girl Paige in the brown leather jacket.

The subject is ""I"".

Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps, records and interviews show.

The subject is ""Winter"".

A:

Yes, the subject of the sentence is the person who is doing the action.

I hope they get there act together.

The subject is ""they"".

I want to hook up with",8.0
9,gpt_j,volition_2_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed .""
Question: In the event ""struck"", does the participant ""him"" act on purpose?
Answer: No
Sentence: ""They have the best prices locally and good customer service .""
Question: In the event ""have"", does the participant ""prices"" act on purpose?
Answer: No
Sentence: ""The US Marines took most of Fallujah Wednesday , but still face pockets of resistance .""
Question: In the event ""took"", does the participant ""Marines"" act on purpose?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I believe he must have waited among the gorse bushes through which the path winds and struck him down as he passed.""
Question: In the event ""struck"", does the participant ""him"" act on purpose?
Answer: No
Sentence: ""They have the best prices locally and good customer service.""
Question: In the event ""have"", does the participant ""prices"" act on purpose?
Answer: No
Sentence: ""The US Marines took most of Fallujah Wednesday, but still face pockets of resistance.""
Question: In the event ""took"", does the participant ""Marines"" act on purpose?
Answer:  No

A:

The answer to your question is yes.
The verb ""strike"" is intransitive, meaning that it does not have a direct object.  The subject of the sentence is ""he"", and the verb is ""struck"".  The subject of the verb ""struck"" is the same as the subject of the sentence, so the subject of the verb ""struck"" is ""he"".  The subject of the verb ""he"" is the same as the subject of the sentence, so the subject of the verb ""he"" is ""he"".  The subject of the verb ""he"" is the same as the subject of the sentence, so the subject of the verb ""he"" is",9.0
