,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""We had a great stay , your service was excellent and we will use you again !""
Question: In the event ""had"", does the state of the participant ""We"" change?
Answer: Yes
Sentence: ""First room had used tissues next to the bed and I requested it be rectified .""
Question: In the event ""rectified"", does the state of the participant ""it"" change?
Answer: Yes
Sentence: ""Following on the heels of Ben 's annoucement yesterday , I thought I 'd post that I have joined Google as well .""
Question: In the event ""joined"", does the state of the participant ""Google"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""We had a great stay, your service was excellent and we will use you again!""
Question: In the event ""had"", does the state of the participant ""We"" change?
Answer: Yes
Sentence: ""First room had used tissues next to the bed and I requested it be rectified.""
Question: In the event ""rectified"", does the state of the participant ""it"" change?
Answer: Yes
Sentence: ""Following on the heels of Ben's annoucement yesterday, I thought I 'd post that I have joined Google as well.""
Question: In the event ""joined"", does the state of the participant ""Google"" change?
Answer: 

A:

Yes, the state of the participant changes.

We had a great stay, your service was excellent and we will use you again!

We is the subject of the sentence. It is the same as saying:

We had a great stay, your service was excellent and we will use you again.

The subject of the sentence is We.

First room had used tissues next to the bed and I requested it be rectified.

The subject of the sentence is the first room.

Following on the heels of Ben's annoucement yesterday, I thought I 'd post that I have joined",0.0
1,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Records show that on Oct. 31 , power generators and electricity traders filed letters with the Federal Energy Regulatory Commission , demanding that the new plan be killed .""
Question: In the event ""killed"", does the state of the participant ""plan"" change?
Answer: Yes
Sentence: ""I HAD TO WAIT FOR MY WAITRESS .""
Question: In the event ""HAD"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""SCALIA filed a dissenting opinion , in which THOMAS and ALITO joined .""
Question: In the event ""joined"", does the state of the participant ""THOMAS"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Records show that on Oct. 31, power generators and electricity traders filed letters with the Federal Energy Regulatory Commission, demanding that the new plan be killed.""
Question: In the event ""killed"", does the state of the participant ""plan"" change?
Answer: Yes
Sentence: ""I HAD TO WAIT FOR MY WAITRESS.""
Question: In the event ""HAD"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""SCALIA filed a dissenting opinion, in which THOMAS and ALITO joined.""
Question: In the event ""joined"", does the state of the participant ""THOMAS"" change?
Answer:  Yes
Sentence: ""The court ruled that the law was unconstitutional, and that the law was unconstitutional.""
Question: In the event ""unconstitutional"", does the state of the participant ""the court"" change?
Answer: No
Sentence: ""The court ruled that the law was unconstitutional, and that the law was unconstitutional.""
Question: In the event ""unconstitutional"", does the state of the participant ""the court"" change?
Answer: Yes
Sentence: ""The court ruled that the law was unconstitutional, and that the law was unconstitutional.""
Question: In the event ""unconstitutional"", does the state of the participant ""the court""",1.0
2,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I had a sampler of IPA , Brawler , Love Stout & ESA .""
Question: In the event ""had"", does the state of the participant ""sampler"" change?
Answer: Yes
Sentence: """" Thou art growing less doltish and more shrewd every day , Sancho , "" said Don Quixote .""
Question: In the event ""growing"", does the state of the participant ""Thou"" change?
Answer: Yes
Sentence: ""n3td3v saw this story on BBC News Online and thought you should see it .""
Question: In the event ""saw"", does the state of the participant ""story"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I had a sampler of IPA, Brawler, Love Stout & ESA.""
Question: In the event ""had"", does the state of the participant ""sampler"" change?
Answer: Yes
Sentence: """" Thou art growing less doltish and more shrewd every day, Sancho, "" said Don Quixote.""
Question: In the event ""growing"", does the state of the participant ""Thou"" change?
Answer: Yes
Sentence: ""n3td3v saw this story on BBC News Online and thought you should see it.""
Question: In the event ""saw"", does the state of the participant ""story"" change?
Answer: 

A:

Yes, the state of the participant changes.
The verb ""had"" is a perfect tense, and the perfect tense is used to describe a state that has been achieved.
The verb ""had"" is used to describe a state that has been achieved.

I had a sampler of IPA, Brawler, Love Stout and ESA.

The state of the participant is ""sampler"".

I had a sampler of IPA, Brawler, Love Stout and ESA.

The state of the participant is ""sampler"".

Thou art growing less doltish and more shrewd every day, Sancho, "" said Don",2.0
3,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""i satisfy your appetitie for lovin .""
Question: In the event ""satisfy"", does the state of the participant ""appetitie"" change?
Answer: Yes
Sentence: ""Seth provides deep tissue massage which has significantly reduced the pain in my neck and shoulders and added flexibility and movement back to the area .""
Question: In the event ""reduced"", does the state of the participant ""pain"" change?
Answer: Yes
Sentence: ""Huge amounts of money , which could have solved many social problems in this dysfunctional part of the world , are channeled into three concentric spheres supporting death and murder .""
Question: In the event ""solved"", does the state of the participant ""amounts"" change?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""i satisfy your appetitie for lovin.""
Question: In the event ""satisfy"", does the state of the participant ""appetitie"" change?
Answer: Yes
Sentence: ""Seth provides deep tissue massage which has significantly reduced the pain in my neck and shoulders and added flexibility and movement back to the area.""
Question: In the event ""reduced"", does the state of the participant ""pain"" change?
Answer: Yes
Sentence: ""Huge amounts of money, which could have solved many social problems in this dysfunctional part of the world, are channeled into three concentric spheres supporting death and murder.""
Question: In the event ""solved"", does the state of the participant ""amounts"" change?
Answer: 

A:

Yes, the state of the participant changes.
The verb ""satisfy"" is a transitive verb, which means that it takes a direct object.  The direct object is the thing that is being satisfied.  In this case, the direct object is ""appetitie"".
The verb ""reduce"" is an intransitive verb, which means that it does not take a direct object.  The direct object is implied.  In this case, the direct object is ""pain"".
The verb ""add"" is a transitive verb, which means",3.0
4,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""<< Upon the sixth of April , Alexander the Great was born .""
Question: In the event ""born"", does the state of the participant ""Alexander"" change?
Answer: Yes
Sentence: ""They want a program that will be a success , "" Johnson - Freese said .""
Question: In the event ""said"", does the state of the participant ""Freese"" change?
Answer: No
Sentence: ""The Texas Education Reform Caucus is made up of business leaders , educators , and elected officials dedicated to finding common sense approaches to improving education in Texas .""
Question: In the event ""improving"", does the state of the participant ""education"" change?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""<< Upon the sixth of April, Alexander the Great was born.""
Question: In the event ""born"", does the state of the participant ""Alexander"" change?
Answer: Yes
Sentence: ""They want a program that will be a success, "" Johnson - Freese said.""
Question: In the event ""said"", does the state of the participant ""Freese"" change?
Answer: No
Sentence: ""The Texas Education Reform Caucus is made up of business leaders, educators, and elected officials dedicated to finding common sense approaches to improving education in Texas.""
Question: In the event ""improving"", does the state of the participant ""education"" change?
Answer: 

A:

Yes, the state of the participant changes.
The sentence is a complex sentence, and the answer is yes.
The sentence is a complex sentence because it has a complex structure.
The structure of the sentence is:

The state of the participant changes.

The state of the participant changes because the verb changes.
The verb changes because the subject changes.
The subject changes because the predicate changes.
The predicate changes because the verb changes.

The predicate changes because the verb changes.

The predicate changes because the verb changes.

The predicate changes because the verb changes.

The predicate changes because the verb changes.
",4.0
5,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Enclosed is a worksheet for Ineos Acrylics .""
Question: In the event ""Enclosed"", does the state of the participant ""worksheet"" change?
Answer: No
Sentence: ""Every student of political science debates how you prevent an anti-democratic force from winning a democratic election and abolishing democracy .""
Question: In the event ""winning"", does the state of the participant ""election"" change?
Answer: Yes
Sentence: ""And the President becomes a Dictator , unrestrained by anything in the Constitution , backed up by the Armed Forces , which would be entirely under his personal control .""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Enclosed is a worksheet for Ineos Acrylics.""
Question: In the event ""Enclosed"", does the state of the participant ""worksheet"" change?
Answer: No
Sentence: ""Every student of political science debates how you prevent an anti-democratic force from winning a democratic election and abolishing democracy.""
Question: In the event ""winning"", does the state of the participant ""election"" change?
Answer: Yes
Sentence: ""And the President becomes a Dictator, unrestrained by anything in the Constitution, backed up by the Armed Forces, which would be entirely under his personal control.""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer:  Yes
Sentence: ""The President is a Dictator, unrestrained by anything in the Constitution, backed up by the Armed Forces, which would be entirely under his personal control.""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer: Yes
Sentence: ""The President is a Dictator, unrestrained by anything in the Constitution, backed up by the Armed Forces, which would be entirely under his personal control.""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer: Yes
Sentence",5.0
6,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""you need to learn about white balance , composition , angle , and work on using the camera properly ...""
Question: In the event ""need"", does the state of the participant ""you"" change?
Answer: Yes
Sentence: ""I wanted to follow up with you regarding the creation and approval of ISDA Confirmations for the following equity trades that I understand Laurel had discussed with you previously .""
Question: In the event ""understand"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""Yes , there is a 100 year - old Israeli - Arab conflict , but it is not where the main show is .""
Question: In the event ""is"", does the state of the participant ""conflict"" change?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""you need to learn about white balance, composition, angle, and work on using the camera properly...""
Question: In the event ""need"", does the state of the participant ""you"" change?
Answer: Yes
Sentence: ""I wanted to follow up with you regarding the creation and approval of ISDA Confirmations for the following equity trades that I understand Laurel had discussed with you previously.""
Question: In the event ""understand"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""Yes, there is a 100 year - old Israeli - Arab conflict, but it is not where the main show is.""
Question: In the event ""is"", does the state of the participant ""conflict"" change?
Answer:  No

A:

Yes, the state of the participant changes.
The verb ""need"" is a modal verb, which means that it changes the state of the participant.
The verb ""want"" is a non-modal verb, which means that it doesn't change the state of the participant.
The verb ""understand"" is a modal verb, but it doesn't change the state of the participant.
The verb ""know"" is a non-modal verb, but it doesn't change the state of the participant.
The verb ""follow up"" is",6.0
7,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I think it will help me very much in my role .""
Question: In the event ""think"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""We understand that the pipe fitters are also planning to picket the Lake Worth , Florida project as well .""
Question: In the event ""planning"", does the state of the participant ""fitters"" change?
Answer: No
Sentence: ""Who knows how much they want me to pay to fix this thing .""
Question: In the event ""fix"", does the state of the participant ""thing"" change?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I think it will help me very much in my role.""
Question: In the event ""think"", does the state of the participant ""I"" change?
Answer: No
Sentence: ""We understand that the pipe fitters are also planning to picket the Lake Worth, Florida project as well.""
Question: In the event ""planning"", does the state of the participant ""fitters"" change?
Answer: No
Sentence: ""Who knows how much they want me to pay to fix this thing.""
Question: In the event ""fix"", does the state of the participant ""thing"" change?
Answer:  No

A:

The answer is no.
The verb ""think"" is a verb of propositional attitude. It is a verb of propositional attitude because it is a verb of propositional attitude.
The verb ""think"" is a verb of propositional attitude because it is a verb of propositional attitude.
The verb ""think"" is a verb of propositional attitude because it is a verb of propositional attitude.
The verb ""think"" is a verb of propositional attitude because it is a verb of propositional attitude.
The verb ""think"" is a verb of propositional attitude because it is a verb of propositional attitude.
The verb ""think"" is a verb of propositional attitude because it is",7.0
8,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""This chef knows what he is doing .""
Question: In the event ""knows"", does the state of the participant ""chef"" change?
Answer: No
Sentence: ""Both India and Afghanistan deny the claim .""
Question: In the event ""deny"", does the state of the participant ""claim"" change?
Answer: No
Sentence: ""There is nothing wrong with a REAL negotiation , but nothing particularly helpful about generating one that s just for show .""
Question: In the event ""generating"", does the state of the participant ""one"" change?
Answer: ",No,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""This chef knows what he is doing.""
Question: In the event ""knows"", does the state of the participant ""chef"" change?
Answer: No
Sentence: ""Both India and Afghanistan deny the claim.""
Question: In the event ""deny"", does the state of the participant ""claim"" change?
Answer: No
Sentence: ""There is nothing wrong with a REAL negotiation, but nothing particularly helpful about generating one that s just for show.""
Question: In the event ""generating"", does the state of the participant ""one"" change?
Answer:  No

A:

The answer is no.
The verb ""know"" is a transitive verb, which means that it requires an object. 
The object of the verb ""knows"" is the person who knows.
The object of the verb ""deny"" is the person who denies.
The object of the verb ""generate"" is the person who generates.
The object of the verb ""show"" is the person who shows.
The object of the verb ""nothing"" is the person who says ""nothing"".
The object of the verb ""wrong"" is the person who says ""wrong"".
The object of the verb ""helpful"" is the person who says ""helpful"".
The object of the verb ""negotiation"" is",8.0
9,gpt_j,change_of_state_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""they do some good waterproof raincoats""
Question: In the event ""do"", does the state of the participant ""they"" change?
Answer: No
Sentence: ""He faxed it to you and will have the original Fedexed overnight .""
Question: In the event ""faxed"", does the state of the participant ""it"" change?
Answer: No
Sentence: ""My vet told me when a dog is vomiting a lot , it could be a sign of obstruction .""
Question: In the event ""told"", does the state of the participant ""vet"" change?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""they do some good waterproof raincoats""
Question: In the event ""do"", does the state of the participant ""they"" change?
Answer: No
Sentence: ""He faxed it to you and will have the original Fedexed overnight.""
Question: In the event ""faxed"", does the state of the participant ""it"" change?
Answer: No
Sentence: ""My vet told me when a dog is vomiting a lot, it could be a sign of obstruction.""
Question: In the event ""told"", does the state of the participant ""vet"" change?
Answer:  No

A:

The answer to your question is no.
The verb ""do"" is a copular verb, which means that it does not change the state of the subject.
The verb ""fax"" is a transitive verb, which means that it changes the state of the subject.
The verb ""tell"" is a transitive verb, which means that it changes the state of the subject.
The verb ""have"" is a transitive verb, which means that it changes the state of the subject.
The verb ""Fedex"" is a transitive verb, which means that it changes the state of the subject.
The verb ""overnight"" is a transitive verb, which means that it changes the state of the subject",9.0
