,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0,Unnamed: 0.1
0,jurassic-jumbo,subject-control,the doctor,the lawyer,True,told,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')",0.0,0.0
1,jurassic-jumbo,subject-control,the doctor,the lawyer,False,told,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')",1.0,1.0
2,jurassic-jumbo,subject-control,the doctor,the lawyer,True,told,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')",2.0,2.0
3,jurassic-jumbo,subject-control,the doctor,the lawyer,False,told,to go,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', ' The doctor went')",3.0,3.0
4,jurassic-jumbo,subject-control,the doctor,the lawyer,True,told,to read,the doctor,other,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', ' the lawyer\n')",4.0,4.0
5,jurassic-jumbo,subject-control,the doctor,the lawyer,False,told,to read,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', ' The doctor read')",5.0,5.0
6,jurassic-jumbo,subject-control,the doctor,the lawyer,True,told,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to run.

Question:  Who ran, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer: ', ' The doctor ran')",6.0,6.0
7,jurassic-jumbo,subject-control,the doctor,the lawyer,False,told,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to run.

Question:  Who ran, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer: ', ' The doctor ran')",7.0,7.0
8,jurassic-jumbo,subject-control,the doctor,the lawyer,True,told,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to call.

Question:  Who called, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer: ', ' The doctor called')",8.0,8.0
9,jurassic-jumbo,subject-control,the doctor,the lawyer,False,told,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to call.

Question:  Who called, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer: ', ' The doctor called')",9.0,9.0
10,jurassic-jumbo,subject-control,the doctor,the lawyer,True,ordered,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')",10.0,10.0
11,jurassic-jumbo,subject-control,the doctor,the lawyer,False,ordered,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')",11.0,11.0
12,jurassic-jumbo,subject-control,the doctor,the lawyer,True,ordered,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')",12.0,12.0
13,jurassic-jumbo,subject-control,the doctor,the lawyer,False,ordered,to go,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', ' The doctor went')",13.0,13.0
14,jurassic-jumbo,subject-control,the doctor,the lawyer,True,ordered,to read,the doctor,other,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', ' the lawyer\n')",14.0,14.0
15,jurassic-jumbo,subject-control,the doctor,the lawyer,False,ordered,to read,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', ' The doctor read')",15.0,15.0
16,jurassic-jumbo,subject-control,the doctor,the lawyer,True,ordered,to run,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to run.

Question:  Who ran, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer: ', ' the lawyer ran')",16.0,16.0
17,jurassic-jumbo,subject-control,the doctor,the lawyer,False,ordered,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to run.

Question:  Who ran, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer: ', ' The doctor ran')",17.0,17.0
18,jurassic-jumbo,subject-control,the doctor,the lawyer,True,ordered,to call,the doctor,other,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to call.

Question:  Who called, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer: ', ' the lawyer\n')",18.0,18.0
19,jurassic-jumbo,subject-control,the doctor,the lawyer,False,ordered,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to call.

Question:  Who called, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer: ', ' The doctor called')",19.0,19.0
20,jurassic-jumbo,subject-control,the doctor,the lawyer,True,called upon,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor called upon the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor called upon the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')",20.0,20.0
21,jurassic-jumbo,subject-control,the doctor,the lawyer,False,called upon,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor called upon the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor called upon the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')",21.0,21.0
22,jurassic-jumbo,subject-control,the doctor,the lawyer,True,called upon,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor called upon the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor called upon the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')",22.0,22.0
23,jurassic-jumbo,subject-control,the doctor,the lawyer,False,called upon,to go,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor called upon the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor called upon the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', ' The doctor went')",23.0,23.0
24,jurassic-jumbo,subject-control,the doctor,the lawyer,True,called upon,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor called upon the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor called upon the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', ' the lawyer read')",24.0,24.0
25,jurassic-jumbo,subject-control,the doctor,the lawyer,False,called upon,to read,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor called upon the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor called upon the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', ' The doctor read')",25.0,25.0
26,jurassic-jumbo,subject-control,the doctor,the lawyer,True,called upon,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor called upon the lawyer to run.

Question:  Who ran, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor called upon the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer: ', ' The doctor ran')",26.0,26.0
27,jurassic-jumbo,subject-control,the doctor,the lawyer,False,called upon,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor called upon the lawyer to run.

Question:  Who ran, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor called upon the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer: ', ' The doctor ran')",27.0,27.0
28,jurassic-jumbo,subject-control,the doctor,the lawyer,True,called upon,to call,the doctor,other,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor called upon the lawyer to call.

Question:  Who called, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor called upon the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer: ', ' the lawyer.')",28.0,28.0
29,jurassic-jumbo,subject-control,the doctor,the lawyer,False,called upon,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor called upon the lawyer to call.

Question:  Who called, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor called upon the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer: ', ' The doctor called upon')",29.0,29.0
30,jurassic-jumbo,subject-control,the doctor,the lawyer,True,reminded,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor reminded the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor reminded the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')",30.0,30.0
31,jurassic-jumbo,subject-control,the doctor,the lawyer,False,reminded,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor reminded the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor reminded the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')",31.0,31.0
32,jurassic-jumbo,subject-control,the doctor,the lawyer,True,reminded,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor reminded the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor reminded the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')",32.0,32.0
